aay	Ama	Ance	Antp	apt	Blimp-1	bmm	bowl	brk	Btk29A	bun	cad	CenG1A	CG10479	CG11208	CG14427	CG17724	CG17786	CG43394	CG8147	cnc	croc	Cyp310a1	D	dan	danr	Dfd	disco	Doc2	Doc3	dpn	edl	ems	erm	Esp	E(spl)m5-HLH	eve	exex	fj	fkh	ftz	gk	gt	h	hb	hkb	htl	Ilp4	ImpE2	ImpL2	ken	kni	knrl	Kr	lok	Mdr49	Mes2	MESR3	mfas	Nek2	NetA	noc	nub	numb	oc	odd	peb	prd	pxb	rau	rho	run	sna	srp	tkv	tll	toc	Traf4	trn	tsh	twi	zen	zen2	zfh1
0.141418	0.296347	0.070594	0.066713	0.735142	0.505988	0.513181	0.30512	0.288619	0.797008	0.6305	0.370845	0.504597	0.230648	0.365115	0.861195	0.225848	0.17984	0.088784	0.144666	0.487637	0.407999	0.363544	0.004235	0.201168	0.1133	0.301471	0.475203	0.144218	0.393715	0.092519	0.14767	0.160897	0.173644	0.3265	0.32034	0.020527	0.390205	0.173955	0.641369	0.031522	0.361752	0.101241	0.279086	0.109469	0.365592	0.169604	0.153789	1.197364	0.224349	0.267455	1.005145	0.706634	0.045771	0.227842	0.814758	0.430733	0.156903	0.362395	0.390838	0.109677	0.219166	0.17579	0.409998	0.174814	0.686335	0.330032	0.017097	0.471891	0.316561	0.311047	0.163903	0.292195	0.149806	0.284169	0.09674	0.204375	0.499369	0.380125	0.187779	0.547124	0.013476	0.561454	0.593452
0.142836	0.231314	0.084943	0.060746	0.86087	0.505988	0.607767	0.317182	0.314079	0.859084	0.628945	0.615668	0.339738	0.382364	0.478408	1.019296	0.214532	0.193959	0.095847	0.165485	0.770512	0.427358	0.3337	0.071637	0.149179	0.184393	0.293932	0.505058	0.172329	0.423319	0.10835	0.184592	0.108946	0.131296	0.420355	0.307087	0.028679	0.490753	0.143373	0.678753	0.042112	0.318224	0.104609	0.31011	0.137805	0.393758	0.187098	0.11913	1.166755	0.308645	0.244797	1.125385	0.650491	0.046236	0.161784	0.70964	0.433773	0.141719	0.296648	0.431895	0.088447	0.276789	0.146595	0.429532	0.174636	0.590301	0.359113	0.018861	0.55648	0.375632	0.330567	0.176103	0.224884	0.103129	0.24027	0.13108	0.204176	0.488055	0.371783	0.195044	0.380801	0.015382	0.367947	0.559586
0.132677	0.231314	0.084943	0.060301	0.866655	0.569066	0.482207	0.300925	0.322277	0.726132	0.716727	0.540784	0.339738	0.382364	0.434518	0.868618	0.214532	0.205019	0.095847	0.182814	0.747095	0.48806	0.3337	0.058478	0.149179	0.190767	0.290685	0.444707	0.172329	0.404748	0.10835	0.184592	0.1119	0.120427	0.396953	0.343462	0.025974	0.291244	0.132802	0.654726	0.039348	0.304336	0.107338	0.31011	0.12036	0.404448	0.199271	0.127493	0.983188	0.308645	0.275921	1.125251	0.658904	0.039081	0.1675	0.538574	0.415065	0.108839	0.228016	0.413398	0.093586	0.260485	0.17691	0.429532	0.187849	0.594824	0.359113	0.016673	0.569186	0.375632	0.322241	0.165623	0.24371	0.095452	0.245401	0.106432	0.231308	0.488055	0.488928	0.18115	0.399172	0.015136	0.367947	0.559586
0.134293	0.289134	0.086199	0.066713	0.738322	0.505988	0.513181	0.30512	0.288619	0.784076	0.66512	0.370845	0.459078	0.228306	0.296303	0.835791	0.225848	0.164708	0.090913	0.142031	0.475394	0.369455	0.363544	0.037942	0.12008	0.110733	0.289261	0.474665	0.138376	0.301708	0.092519	0.14767	0.131918	0.178697	0.3265	0.290193	0.019862	0.405854	0.173955	0.627704	0.035797	0.361752	0.094689	0.323462	0.122504	0.415102	0.170039	0.159198	1.303395	0.253953	0.283194	1.020321	0.6978	0.041191	0.210734	0.814758	0.430733	0.140213	0.309825	0.258744	0.118021	0.219166	0.146263	0.390683	0.229658	0.673226	0.328178	0.015799	0.692559	0.220558	0.321811	0.164418	0.321409	0.149806	0.325273	0.100652	0.20897	0.499369	0.498353	0.17745	0.48291	0.015578	0.518143	0.593452
0.126241	0.214762	0.101845	0.059858	0.606152	0.569066	0.478107	0.300925	0.322277	0.719501	0.581776	0.430226	0.35067	0.488375	0.326369	0.851186	0.171113	0.133294	0.104839	0.169796	0.735437	0.556187	0.282029	0.077556	0.123228	0.156512	0.32127	0.568624	0.156684	0.436124	0.0773	0.115099	0.157349	0.140241	0.396953	0.337078	0.026803	0.243576	0.204824	0.59853	0.039158	0.36638	0.09233	0.366858	0.132077	0.376102	0.207277	0.130054	1.127014	0.476746	0.306154	1.0209	0.730709	0.043954	0.179168	0.717946	0.460813	0.105747	0.252516	0.413398	0.110707	0.290601	0.165442	0.34714	0.232114	0.595875	0.50471	0.013286	0.569186	0.174314	0.328485	0.163866	0.297926	0.120797	0.294873	0.107656	0.260791	0.364567	0.523045	0.170228	0.423835	0.013639	0.535677	0.443841
0.125896	0.293444	0.07446	0.102034	0.675075	0.414555	0.502173	0.424533	0.249937	0.72351	0.616106	0.40612	0.423971	0.211053	0.370713	0.774522	0.150955	0.181721	0.078216	0.129666	0.506048	0.479396	0.553927	0	0.128087	0.087789	0.239241	0.415295	0.155549	0.301166	0.073554	0.119702	0.193595	0.345091	0.281357	0.256663	0.015944	0.308853	0.173237	0.609437	0.028055	0.307226	0.087476	0.252627	0.095937	0.417776	0.196482	0.165478	1.267556	0.380045	0.27964	0.916261	0.701011	0.047403	0.200377	0.717677	0.535611	0.182944	0.299843	0.326105	0.128116	0.194681	0.167787	0.274804	0.195404	0.716687	0.315404	0.019645	0.489068	0.329592	0.296196	0.089155	0.369271	0.258742	0.210392	0.088893	0.213417	0.315521	0.628445	0.157181	0.462592	0.017455	0.381572	0.65999
0.122791	0.209666	0.092576	0.079799	0.618193	0.592209	0.50404	0.386499	0.286651	0.790241	0.619514	0.291137	0.378088	0.374476	0.411762	0.97682	0.171113	0.180202	0.110259	0.16903	0.794776	0.54902	0.282029	0.100857	0.116602	0.212131	0.325972	0.534305	0.152507	0.411696	0.066958	0.124586	0.124223	0.140241	0.309847	0.21848	0.023955	0.197057	0.199804	0.55237	0.03397	0.370182	0.09416	0.330448	0.112592	0.400145	0.170123	0.090655	1.291202	0.345294	0.264428	1.09703	0.688737	0.03907	0.168906	0.880148	0.346654	0.072998	0.244616	0.442207	0.134436	0.2752	0.158455	0.425616	0.267917	0.495234	0.247604	0.015773	0.503274	0.249522	0.34542	0.159554	0.308639	0.148972	0.266894	0.118767	0.289915	0.494084	0.469335	0.180018	0.375619	0.014264	0.528936	0.636354
0.118788	0.285521	0.071834	0.05355	0.711532	0.459217	0.590594	0.39891	0.23313	0.829187	0.622692	0.344421	0.423447	0.295351	0.260822	0.752817	0.171113	0.164642	0.089291	0.174159	0.533857	0.528495	0.310068	0.047758	0.081387	0.076392	0.288171	0.517794	0.147824	0.321601	0.074309	0.153616	0.202846	0.130715	0.367957	0.278271	0.016727	0.261348	0.180676	0.580992	0.028332	0.308977	0.08999	0.375541	0.120101	0.404997	0.145049	0.143118	1.121361	0.328809	0.28446	1.000781	0.734101	0.046156	0.171248	0.929719	0.538189	0.105296	0.21611	0.406715	0.093319	0.196648	0.140083	0.335515	0.193312	0.642184	0.298618	0.008452	0.56656	0.198268	0.282618	0.116243	0.351275	0.200358	0.301243	0.083491	0.257471	0.321869	0.598279	0.16585	0.468791	0.012632	0.562444	0.471051
0.161783	0.138077	0.065167	0.119908	0.715919	0.75916	0.498614	0.329347	0.274102	0.62333	0.671162	0.398497	0.322198	0.49017	0.460198	0.903737	0.237013	0.166344	0.113123	0.183261	0.827325	0.69237	0.160008	0.042445	0.091574	0.304088	0.282498	0.553245	0.122762	0.388991	0.063768	0.089728	0.178475	0.183677	0.220855	0.199459	0.026955	0.157913	0.176189	0.407898	0.033992	0.302825	0.135834	0.478585	0.108015	0.275633	0.132689	0.086827	0.985351	0.327433	0.182076	1.097793	0.690704	0.036291	0.171694	0.60333	0.30177	0.127349	0.443012	0.3476	0.102043	0.280551	0.179137	0.402465	0.250431	0.329722	0.310831	0.022312	0.564971	0.20804	0.214157	0.163785	0.232114	0.177974	0.229395	0.102387	0.481799	0.204249	0.291751	0.176398	0.267138	0.016062	0.599023	0.458194
0.117262	0.211673	0.103793	0.108817	0.669301	0.592209	0.584198	0.386499	0.204587	0.694933	0.621341	0.334265	0.340634	0.374476	0.322909	0.84423	0.171113	0.179246	0.118124	0.184269	0.592655	0.573146	0.310068	0.036218	0.124029	0.111452	0.288884	0.528586	0.127269	0.40595	0.078894	0.094784	0.158826	0.140289	0.285934	0.25966	0.01932	0.206153	0.16054	0.528385	0.033546	0.349412	0.078125	0.390507	0.122903	0.36452	0.135402	0.090655	1.46724	0.389653	0.256019	1.030464	0.755245	0.040564	0.187457	0.714979	0.403653	0.067035	0.263783	0.251662	0.11316	0.268859	0.162464	0.329717	0.254205	0.590803	0.280109	0.008026	0.588521	0.252061	0.283816	0.150408	0.434146	0.182298	0.252934	0.100658	0.284099	0.494084	0.485485	0.152404	0.464609	0.00985	0.404225	0.464257
0.143204	0.163225	0.047483	0.118861	0.640845	0.75916	0.50411	0.320111	0.289939	0.616038	0.640005	0.450285	0.357367	0.428947	0.458572	0.995825	0.272809	0.21925	0.113123	0.134967	0.773586	0.665514	0.220997	0.051351	0.102624	0.225719	0.245286	0.517222	0.077312	0.376225	0.062262	0.139561	0.120423	0.096738	0.299495	0.199459	0.021824	0.205165	0.206788	0.440373	0.030215	0.389853	0.109483	0.356706	0.09909	0.36278	0.150745	0.086827	1.093724	0.412643	0.226907	1.085688	0.689928	0.049033	0.164744	0.690737	0.34071	0.100979	0.242389	0.282286	0.113556	0.280008	0.145263	0.304655	0.256399	0.471041	0.277643	0.016594	0.503274	0.249522	0.295369	0.233044	0.4035	0.121517	0.177418	0.095589	0.461229	0.23773	0.309874	0.175884	0.365559	0.006789	0.545145	0.409761
0.103746	0.29096	0.086715	0.07488	0.714708	0.734964	0.478657	0.322699	0.230424	0.703334	0.567233	0.288447	0.351458	0.282478	0.334526	0.82278	0.189633	0.170119	0.089291	0.151912	0.436293	0.572869	0.387318	0.000637	0.081387	0.091412	0.26728	0.457174	0.133616	0.308395	0.061155	0.185817	0.173262	0.165971	0.298424	0.272239	0.014803	0.25651	0.167143	0.5489	0.017886	0.297305	0.105357	0.21085	0.095624	0.454307	0.147601	0.143118	1.318384	0.402807	0.300108	0.864398	0.740011	0.04058	0.177961	0.82496	0.49801	0.177347	0.215358	0.283138	0.129084	0.187077	0.17729	0.318358	0.238296	0.590419	0.298251	0.010123	0.56656	0.329943	0.304942	0.15499	0.403886	0.323844	0.286915	0.092127	0.309395	0.171346	0.589321	0.169936	0.449868	0.014306	0.76894	0.523916
0.125781	0.182703	0.03371	0.120699	0.599441	0.50585	0.489811	0.320111	0.194266	0.582873	0.571035	0.22067	0.321817	0.387953	0.387677	0.822812	0.222709	0.195699	0.136888	0.140804	0.588204	0.569884	0.308435	0.035378	0.102624	0.166189	0.25641	0.456792	0.129193	0.356947	0.066039	0.139561	0.150707	0.217913	0.288492	0.262298	0.019668	0.191368	0.188722	0.461822	0.029782	0.302167	0.095554	0.416571	0.106975	0.354885	0.123782	0.095338	1.250005	0.397353	0.22786	1.034496	0.683427	0.039492	0.208196	0.714979	0.443898	0.105	0.216067	0.251662	0.102861	0.259662	0.123751	0.277024	0.216061	0.58874	0.253894	0.006238	0.511694	0.141767	0.277566	0.197345	0.487559	0.193319	0.234318	0.116756	0.380996	0.246208	0.421704	0.188146	0.424799	0.008527	0.826998	0.540126
0.095712	0.251809	0.117932	0.082282	0.646254	0.734964	0.45862	0.322699	0.230424	0.721442	0.557655	0.314412	0.437101	0.301344	0.314334	0.811863	0.181337	0.175666	0.106117	0.151912	0.471852	0.560566	0.387318	0.013071	0.105381	0.090447	0.279696	0.380104	0.120677	0.284963	0.049544	0.109237	0.140126	0.224453	0.298424	0.181945	0.009983	0.223018	0.180302	0.525893	0.015157	0.313513	0.081163	0.288051	0.089457	0.463078	0.161588	0.143118	1.392594	0.437154	0.25379	0.861957	0.713559	0.051895	0.172844	0.703432	0.623051	0.123966	0.220187	0.306392	0.103065	0.18636	0.14589	0.264021	0.187274	0.593557	0.259623	0.006225	0.560468	0.166261	0.207311	0.139849	0.461023	0.34103	0.24045	0.081013	0.248092	0.344627	0.634851	0.162052	0.445971	0.004635	0.62789	0.503745
0.100429	0.164798	0.031222	0.180648	0.722633	0.560216	0.470832	0.389425	0.233738	0.673322	0.590734	0.584749	0.324122	0.238824	0.34574	0.879019	0.216982	0.141649	0.170726	0.15617	0.542653	0.865805	0.220997	0.052017	0.115509	0.181586	0.220902	0.375384	0.099136	0.312816	0.061219	0.113692	0.134503	0.156329	0.196841	0.249298	0.019885	0.175036	0.125283	0.341918	0.022875	0.228233	0.102159	0.541202	0.118188	0.277032	0.150187	0.108642	1.091947	0.322638	0.186138	0.971549	0.715649	0.041364	0.196903	0.85317	0.383028	0.114842	0.111028	0.38631	0.103049	0.342741	0.121751	0.228017	0.280787	0.43613	0.15891	0.007125	0.42931	0.192621	0.258671	0.17902	0.435393	0.205379	0.273363	0.099653	0.516349	0.207402	0.36155	0.18163	0.392323	0.009029	0.56036	0.354673
0.114102	0.200247	0.083122	0.136238	0.564732	0.734964	0.45862	0.258443	0.130317	0.728906	0.638007	0.246797	0.445473	0.301344	0.323123	0.781677	0.15922	0.145922	0.127542	0.129962	0.458279	0.595953	0.308435	0.060795	0.137371	0.087895	0.281151	0.316163	0.09787	0.343324	0.054858	0.148584	0.154434	0.207229	0.289741	0.377221	0.012205	0.165578	0.142288	0.454323	0.016532	0.332637	0.087715	0.500592	0.093051	0.414233	0.147129	0.143986	1.30707	0.452294	0.234464	0.905102	0.679359	0.043344	0.215261	0.750011	0.63933	0.145076	0.143045	0.306392	0.101583	0.231931	0.231055	0.220203	0.201502	0.536079	0.250601	0.004835	0.560468	0.275434	0.308736	0.142268	0.538533	0.307376	0.224644	0.095713	0.249123	0.255705	0.503929	0.160384	0.486345	0.010885	0.627978	0.635607
0.100429	0.175566	0.051877	0.167955	0.71194	0.560216	0.453726	0.404191	0.162838	0.680796	0.241352	0.373916	0.345552	0.275804	0.345772	0.863442	0.216982	0.174187	0.170726	0.13054	0.550237	0.888777	0.290215	0.088722	0.115509	0.160661	0.221479	0.369853	0.11957	0.296033	0.058413	0.119865	0.149307	0.144017	0.143853	0.208078	0.018502	0.192681	0.125283	0.307754	0.026652	0.196644	0.111878	0.5424	0.117755	0.331163	0.164552	0.097193	0.995611	0.347515	0.191523	0.835435	0.663183	0.045943	0.16857	0.805848	0.393439	0.10083	0.094547	0.397808	0.095949	0.369811	0.161938	0.216328	0.273482	0.419681	0.160379	0.011877	0.398717	0.200148	0.26501	0.161215	0.574294	0.266581	0.183337	0.109761	0.483954	0.280796	0.360409	0.176217	0.473517	0.008122	0.292762	0.297999
0.104287	0.238118	0.06497	0.062263	0.582813	0.410134	0.511366	0.258443	0.19846	0.712622	0.543591	0.36206	0.417525	0.320483	0.23983	0.772949	0.206257	0.135812	0.113658	0.122918	0.385532	0.634684	0.398405	0.045651	0.076739	0.081141	0.267665	0.337481	0.113357	0.286412	0.068039	0.152509	0.20752	0.169162	0.277009	0.198642	0.009419	0.224798	0.180697	0.467182	0.009256	0.339971	0.078715	0.200434	0.076627	0.363085	0.131939	0.143986	1.215734	0.465923	0.241182	0.794479	0.710519	0.042883	0.196712	0.581765	0.629964	0.19879	0.149854	0.413644	0.121625	0.236455	0.25769	0.21688	0.159809	0.475955	0.192333	0.005846	0.728462	0.212954	0.295511	0.142057	0.544317	0.346426	0.250664	0.084058	0.304035	0.256677	0.503929	0.178315	0.476569	0.011564	0.630562	0.481745
0.092961	0.202115	0.051877	0.136369	0.51543	0.409049	0.390421	0.387414	0.234104	0.75361	0.319707	0.342127	0.426136	0.298572	0.341885	0.818333	0.185946	0.16618	0.187814	0.125114	0.42325	0.73622	0.312872	0.072289	0.100649	0.101603	0.217527	0.39785	0.114964	0.292669	0.048693	0.157682	0.152403	0.15868	0.161339	0.160354	0.018858	0.179061	0.177634	0.319211	0.020594	0.196169	0.093933	0.5424	0.093802	0.366282	0.130039	0.110631	1.023125	0.349626	0.200422	0.841199	0.634077	0.050891	0.174259	0.61743	0.561359	0.122308	0.321598	0.377976	0.105078	0.334787	0.172895	0.171899	0.2468	0.453027	0.18243	0.007422	0.489119	0.12254	0.226084	0.170203	0.656113	0.403868	0.178907	0.08819	0.355303	0.249988	0.422206	0.176735	0.547017	0.007713	0.27573	0.437945
0.120157	0.272126	0.097301	0.071384	0.720823	0.342852	0.460518	0.408259	0.231027	0.772541	0.54548	0.298434	0.456465	0.230963	0.267586	0.909449	0.187837	0.102069	0.093427	0.115725	0.389214	0.587924	0.315348	0.011265	0.09269	0.083726	0.216607	0.431245	0.144979	0.296739	0.076274	0.116	0.150116	0.118944	0.30571	0.257256	0.005817	0.28076	0.150629	0.52546	0.008535	0.31467	0.078164	0.245429	0.122324	0.442539	0.184655	0.170136	1.219871	0.451028	0.246411	0.817958	0.733275	0.048446	0.185393	0.710139	0.703294	0.328642	0.293123	0.214438	0.137849	0.187718	0.165981	0.245336	0.221825	0.509165	0.261025	0.01008	0.613306	0.251144	0.260487	0.153788	0.455566	0.307237	0.325771	0.066699	0.228836	0.322857	0.671657	0.155109	0.3956	0.00699	0.289645	0.498167
0.094896	0.30539	0.034778	0.143469	0.460682	0.32655	0.415118	0.350813	0.08007	0.729145	0.286924	0.448727	0.386984	0.232698	0.491283	0.86125	0.23473	0.251391	0.131773	0.139136	0.325885	0.810977	0.532449	0.039334	0.125065	0.072215	0.1732	0.309709	0.093881	0.226654	0.073038	0.248318	0.135532	0.140731	0.164905	0.221499	0.018785	0.235499	0.154827	0.221041	0.028903	0.122479	0.101399	0.181291	0.129704	0.415945	0.112187	0.156083	0.541766	0.300095	0.182399	0.616215	0.545834	0.058777	0.161394	0.488474	0.663876	0.226478	0.103749	0.294448	0.191822	0.458676	0.160563	0.179156	0.274781	0.224354	0.159871	0.017405	0.375813	0.241573	0.282458	0.1982	0.72755	0.383857	0.176553	0.090794	0.27667	0.583229	0.359482	0.199201	0.547162	0.010253	0.651626	0.320532
