xcoord ycoord zcoord
-160.01 38.57 27.69
-162.67 39.21 24.87
-158.96 42.05 21.91
-159.77 43.49 17.05
-154.29 46.23 14.36
-159.5 44.89 12.22
-148.57 49.49 6.42
-154.56 47.6 4.02
-150.87 48.76 -0.36
-154.56 46.89 -3.57
-155.1 45.8 -7.7
-159.61 42.54 -10.81
-149.62 45.33 -15.76
-151.99 42.34 -19.5
-149.98 38.85 -26.32
-160.7 33.85 -24.7
-150.04 36.03 -29.75
-155.43 31.86 -30.77
-154.34 28.98 -34.22
-154.06 24.81 -37.53
-149.18 25.33 -39.89
-157.67 13.83 -40.91
-142.92 15.61 -47.45
-148.19 14.82 -45.3
-148.3 4.26 -47.51
-153.3 2.13 -45.36
-151.68 1.84 50.7
-153.92 6.2 49.76
-148.61 6.26 51.23
-155.55 10.83 48.5
-152.35 15.21 48.3
-153.98 18.98 46.47
-148.39 19.36 48.01
-151.89 27.41 42.66
-147.09 31.86 41.05
-150.58 33.51 38.26
-151.78 36.17 35.26
-152.55 38.55 32.02
-154.01 40.27 28.92
-154.42 42.36 24.93
-150.02 45.19 22.21
-154.17 44.91 19.12
-148.55 47.56 16.95
-146.06 49.23 12.92
-139.87 51.91 4.72
-146.5 50.21 2.43
-144.46 50.69 -2.64
-148.17 49 -6.11
-149.47 47.51 -10.28
-154.66 44.06 -13.11
-145.08 45.88 -19.15
-147.62 42.48 -22.78
-143.32 42.51 -26.17
-155.77 34.8 -26.99
-142.8 37.46 -32.85
-148.89 33.6 -33.27
-143.06 34.17 -36.14
-148.82 29.83 -36.66
-144.16 25.59 -42.26
-148.88 20.5 -42.74
-136.75 15.41 -50.15
-146.08 10.23 -47.61
-142.96 5.92 -49.58
-144.17 0.3 -49.48
-140.5 1.29 53.45
-146.36 1.87 52.18
-143.2 5.93 52.55
-150.61 10.57 50.03
-147.08 15.02 49.83
-143.34 19.87 49.16
-144.81 24.48 46.74
-146.4 28.27 43.99
-141.09 32.34 42.64
-142.22 35.8 39.19
-145.16 37.34 36.56
-145.86 40.11 33.16
-146.58 42.32 29.62
-147.96 44.05 26.27
-142.06 46.88 23.84
-143.94 47.87 20.14
-140.88 50.03 16.35
-142.99 50.81 8.73
-135.66 52.59 8.4
-139.56 52.24 0.22
-138.02 52.3 -4.64
-141.79 50.61 -8.25
-138.33 51.14 -11.39
-145.06 48.36 -13.1
-136.41 49.08 -19.56
-140.78 45.91 -22.59
-137.56 43.11 -29.22
-143.91 39.58 -29.57
-136.66 38.25 -35.68
-138.04 34.41 -38.86
-138.82 29.94 -41.99
-143.83 30.01 -39.26
-139.33 25.13 -44.81
-144.18 20.3 -44.89
-138.87 20.31 -47.49
-140.55 11.22 -49.65
-137.18 6.89 -51.84
-138.72 2.04 -51.71
-133.57 1.01 54.98
-137.13 5.06 53.91
-139.95 10.02 52.82
-145.25 10.65 51.41
-141.86 14.99 51.13
-138.04 19 50.62
-139.36 23.98 48.31
-140.58 28.35 45.49
-135.17 32 44.27
-135.96 35.76 41.14
-136.33 39.24 37.72
-139.1 41.02 34.72
-139.44 43.47 31.24
-140.35 45.5 27.67
-134.51 48.62 24.16
-136.29 49.98 20.04
-132.36 51.97 16.17
-138.67 51.24 12.5
-129.38 54.26 6.95
-133.37 53.57 3.4
-132.72 53.81 -2.17
-132.99 53.36 -7.92
-133.68 51.97 -13.99
-130.72 51.94 -16.98
-132.73 48.77 -22.92
-135.81 45.98 -25.98
-130.16 45.86 -29.66
-135.84 41.28 -32.43
-129.88 41.47 -35.9
-131.51 37.96 -38.92
-132.96 33.97 -41.79
-133.67 29.54 -44.71
-129.12 28 -47.92
-134.12 24.71 -47.4
-133.24 19.9 -50.08
-133.38 10.15 -52.87
-127.41 9.52 -55.53
-132.06 2.75 -54.29
-127.01 0.83 56.12
-131.1 4.49 55.32
-134.26 9.17 54.05
-136.41 14.14 52.65
-133.03 17.83 52.21
-134.35 22.94 49.98
-130.19 26.36 49.08
-130.12 31.06 46.29
-130.41 35.1 43.18
-130.69 38.88 39.78
-127.7 41.87 37.49
-131.84 42.77 35.3
-132.34 44.91 32.02
-132.86 47.06 28.31
-127.94 49.81 25.27
-129.39 51.17 20.91
-125.87 53.13 17.74
-130.94 52.97 12.17
-124.32 55.88 4.32
-128.79 54.8 0.73
-124.07 56.09 -2.68
-127.84 55.03 -5.83
-125.07 54.5 -13.69
-127.43 51.61 -20.35
-124.98 50.96 -23.72
-128.02 48.49 -26.61
-123.62 48.08 -30.31
-128.46 44.35 -33.01
-123.53 44.1 -36.45
-125.48 40.5 -39.45
-126.96 36.85 -42.42
-128.36 32.68 -45.18
-124.6 25.81 -51.09
-128.98 23.05 -50.57
-124.47 20.64 -53.38
-127.79 17.4 -53.28
-124.73 11.23 -56.1
-128.79 5.59 -55.28
-123.18 3.53 56.69
-128.56 7.44 55.31
-123.7 12.48 55.46
-128.78 15.2 53.92
-125.94 18.4 53.47
-129.78 21.32 51.62
-125.93 25.11 50.71
-125.69 29.88 48.11
-125.28 34.12 45.32
-125.65 37.93 41.98
-121.58 41.11 40.05
-122.98 44.69 35.7
-125.43 46.18 32.74
-126.41 48.14 29.25
-120.87 51.03 26.62
-122.73 52.32 22.42
-124.37 54.49 14.22
-125.43 54.92 10.11
-119.69 56.88 7.5
-120.2 57.19 0.77
-116.74 58.28 -2.86
-120.85 56.74 -7.25
-117.8 56.62 -14.34
-123.01 54.11 -17.49
-119.69 53.78 -21.42
-120.71 50.87 -27.18
-116.93 50.03 -31.33
-120.97 46.93 -33.87
-119.11 43.09 -39.95
-121.16 39.25 -42.68
-123.2 34.97 -45.59
-124.4 30.55 -48.42
-119.56 28.74 -51.5
-119.74 23.22 -54.16
-118.99 16.97 -56.68
-122.62 14.93 -55.97
-118.6 8.22 -58.73
-121.82 4.19 -58.16
-117.44 3.04 57.71
-124.98 8.26 56.2
-119.44 11.39 56.51
-120.17 16.88 55.09
-116.94 20.91 54.36
-122.85 21.88 52.81
-119.54 25.6 52.05
-120.74 29.59 49.67
-119.62 33.78 46.98
-119.56 37.46 44.12
-115.72 40.73 42.06
-117.56 44.07 38.19
-117.09 47.56 33.89
-119.37 49.21 30.52
-116.14 53.63 23.53
-118.53 54.62 19.05
-116.97 56.1 15.61
-117.71 56.79 11.61
-112.44 58.61 8.46
-116.17 58.23 3.98
-113.82 58.83 -6.08
-120.28 56.58 -10.49
-112.04 57.79 -16.48
-115.98 55.86 -18.94
-111.85 55.85 -22.59
-116.28 53.59 -24.93
-110.83 51.63 -32.29
-116.08 46.28 -37.43
-114.97 41.63 -43.12
-117.04 37.65 -45.98
-113.2 35.66 -49.04
-114.7 31.16 -51.73
-110.59 28.64 -54.42
-115.45 26.15 -54.36
-115.57 20.29 -56.82
-115.86 12.14 -59
-112.83 10.69 -60.25
-116.12 5.24 -60.04
-108.8 2.4 59.34
-113.83 7.69 58.06
-112.41 11.91 57.57
-115.63 15.61 56.25
-112.05 20.1 55.6
-114.03 25.04 53.21
-110.41 29.09 52.01
-115.58 29.86 50.68
-113.91 33.68 48.5
-113.7 37.21 45.72
-111.12 43.6 40.54
-112.22 46.44 36.89
-112.27 50.22 31.64
-113.76 52 27.83
-109.28 54.35 25.18
-111.65 55.73 20.61
-110.63 57.19 17.12
-110.68 58.3 12.87
-109.23 59.72 4.99
-112.11 59.62 0.53
-109.03 60.36 -2.67
-112.8 58.84 -9.69
-110.88 58.8 -12.76
-107.66 57.97 -20.06
-107.81 55.92 -25.53
-107.56 54.56 -28.6
-113.22 49.07 -35.07
-112.42 44.95 -40.64
-108.89 43.22 -43.93
-111.49 39.63 -46.45
-107.53 37.5 -49.63
-109.53 33.4 -52.05
-105.94 30.6 -54.9
-111.42 23.41 -56.74
-108.02 20.1 -59.06
-112.58 16.94 -58.89
-107.86 7.96 -62.11
-111.18 3.06 -61.64
-102.79 2.26 60.14
-106.01 7.02 59.31
-107 11.33 58.59
-109.89 15.78 57.24
-106.64 20.25 56.41
-108.74 24.69 54.39
-104.93 29.09 53.03
-108.12 33.36 50.01
-107.54 36.72 47.4
-109.79 40.34 44.01
-105.48 46.09 39.04
-107.95 48.87 34.71
-103.45 51.17 32.72
-107.02 52.54 29.37
-103.15 54.81 26.39
-105.31 56.53 22.12
-104.47 59.1 14.94
-105.89 59.85 10.12
-102.6 61 6.77
-105.35 61 2.25
-106.07 60.78 -6.16
-105.12 60.78 -9.57
-104.06 60.47 -13.31
-104.88 59.55 -16.79
-103.45 57.97 -23.02
-104.85 53.47 -32.04
-105.56 51 -35.69
-109.07 48.14 -38.29
-105.8 46.52 -41.56
-105.25 41.03 -47.24
-101.5 38.38 -50.83
-103.91 35.03 -52.73
-100.37 32.11 -55.59
-106.48 25.72 -57.22
-103.2 22.32 -59.49
-108.43 13.99 -60.9
-104.23 9.86 -62.72
-106.01 3.82 -62.74
-97.25 2.93 60.72
-103.24 6.6 59.85
-100.46 11.93 59.37
-103.93 15.23 58.4
-101.88 20.58 57
-103.16 25.07 55.11
-99.3 29.19 53.62
-102.38 33.15 51.07
-101.22 36.58 48.84
-103.52 39.84 45.65
-99.12 45.38 40.93
-101.86 48.44 36.89
-97.36 52.1 33.16
-99.88 53.53 29.7
-98.74 57.01 23.44
-103.53 58.07 18.76
-97.54 60.07 15.53
-99.67 60.68 11.95
-98.38 62.23 4.64
-102.8 61.86 -1.07
-100.04 62.36 -5.09
-98.77 62.17 -9.39
-98.53 60.82 -16.86
-99.89 59.66 -20.23
-99.37 57.83 -25.78
-100.7 56.18 -28.79
-100.05 53.03 -34.88
-102.24 49.85 -38.77
-100.21 47.78 -41.93
-102.93 44.5 -44.88
-100.07 41.51 -48.46
-97.95 35.61 -54.06
-96.4 30.19 -57.97
-101.8 27.75 -57.55
-99.05 20.5 -61.33
-104.35 16.66 -61.15
-99.56 9.2 -64.19
-100.45 4.05 -64.29
-92.54 1.18 61.32
-97.49 8.3 60.41
-95.03 12.53 59.99
-99.44 16.52 58.62
-96.68 21.12 57.53
-97.83 25.17 55.81
-93.89 28.78 54.69
-96.33 32.87 52.02
-97.25 39.3 47.29
-98.52 42.36 44.29
-95.23 47.21 40.03
-96.92 49.88 36.5
-93.28 54.37 30.56
-95.81 55.9 26.8
-93.47 58.33 22.47
-97.07 58.9 19.18
-92.1 61.26 15.12
-96.66 61.67 9.22
-97.1 62.71 1.61
-96.27 62.95 -2.23
-94.16 63.04 -7.28
-97.48 61.84 -12.93
-92.75 61.94 -15.4
-95.02 59.51 -23.41
-94 57.91 -28.22
-98.42 55.14 -31.82
-92.99 53.58 -37
-97.2 51.49 -38.38
-94.23 47.58 -44.31
-97.15 44.87 -45.92
-94.08 41.99 -50.08
-95.19 38.69 -52.52
-92.29 28.05 -60.36
-98.24 25.23 -59.78
-94.73 18.8 -63.29
-100.77 14.86 -62.54
-91.5 12.66 -65.91
-96.87 1.71 -65.67
-89.89 4.68 61.57
-93.29 6.77 61.05
-90.61 11.22 60.74
-93.88 17.3 59.15
-90.68 20.71 58.43
-92.41 24.69 56.75
-90.95 32.1 53.3
-94.85 35.95 50.22
-90.37 37.81 49.55
-91.92 40.89 46.86
-89.51 45.67 42.76
-90.26 48.75 39.15
-88.87 53.38 33.11
-90.35 56.53 27.45
-87.93 58.08 24.66
-90.79 59.96 19.34
-90.98 61.89 12.25
-91.9 62.69 7.77
-90.51 63.34 4.84
-90.59 63.53 1.22
-90.47 63.55 -5.33
-91.22 63.01 -11.63
-89.53 62.03 -18.63
-93.21 60.75 -20.47
-89.91 59.63 -26.42
-92.11 55.48 -34.07
-87.37 54.29 -38.35
-93.3 50.13 -41.68
-88.26 47.61 -46.39
-91.2 44.72 -48.51
-89.08 40.06 -53.48
-93.18 33.81 -56.98
-88.88 31.42 -59.59
-93.48 23.52 -61.88
-88.78 22.02 -63.98
-96.03 14.29 -64.13
-87.95 9.79 -67.54
-92.26 5.2 -66.83
-83.32 5.8 62.11
-86.47 8.73 61.5
-85.05 13.48 60.89
-89.31 15.83 60
-86.77 24.02 57.71
-88.45 28.02 55.81
-85.05 30.69 54.72
-87.94 34.7 52.12
-85.11 38.69 49.58
-87.12 42.05 46.45
-85.19 47.26 41.59
-86.2 50.53 37.78
-83.44 53 34.7
-86.1 55.37 30.44
-85.71 59.57 22.16
-86.33 61.07 17.54
-83.57 62.24 14.95
-86.6 62.9 10.69
-85.25 64.03 5.13
-89.41 63.78 -1.94
-83.99 64.85 -5.04
-87.66 63.79 -9.57
-85.06 63.36 -16.86
-87.24 61.14 -23.7
-84.6 59.89 -28.88
-91.24 57.2 -31.05
-85.21 56.71 -34.89
-88.87 51.39 -41.83
-84.69 49.56 -45.54
-86.5 43.12 -51.46
-83.25 40.43 -54.9
-90.42 36.66 -55.75
-85.06 33.53 -59.59
-87.42 26.53 -62.74
-82.89 23.44 -65.29
-89.78 17.77 -65.16
-86.44 5.21 -68.49
-90.03 0.93 -67.65
-79.26 2.99 62.66
-81.37 10.51 61.71
-78.24 13.89 61.66
-85.63 19.39 59.41
-81.63 22.15 58.96
-82.42 26.46 57.08
-80.46 31.4 54.81
-82.92 35.13 52.52
-81.22 40.33 48.73
-83.5 44.02 45.27
-80.29 47.98 41.59
-80.64 50.49 38.49
-78.6 53.51 35.04
-83.08 57.43 27.36
-79.87 59.73 23.78
-81.12 61.04 19.89
-79.52 63.08 14.26
-82.87 63.73 9.3
-81.55 65.07 2.63
-84.08 64.71 -0.3
-82.59 65.04 -8.25
-85.38 63.84 -13.69
-79.68 65.06 -14.91
-83.55 62.52 -22.23
-80.53 61.6 -26.83
-84.21 58.54 -31.94
-81.42 55.76 -38.17
-83.35 53.12 -41.43
-79.87 50.68 -45.67
-83.6 45.92 -49.56
-79.66 43.53 -53.18
-84.49 36.9 -57.39
-79.98 31.69 -62.06
-83.39 28.58 -62.84
-83.83 19.28 -66.51
-80.8 13.62 -68.75
-81.87 8.86 -69.35
-83.53 1.37 -69.66
-74.51 1.36 62.96
-77.55 7.23 62.4
-74.57 10.65 62.33
-76.88 18.67 60.48
-76.85 22.62 59.21
-78.12 27.33 57.12
-75.95 32.53 54.68
-78.52 36.5 51.92
-76.63 41.15 48.42
-79.05 44.67 45.24
-75.11 47.05 43.57
-75.43 50.72 39.64
-75.3 55.64 32.48
-77.82 58.29 27.03
-74.15 61.26 22.81
-76.59 62.26 18.81
-76.55 64.44 11.84
-78.87 64.95 7.1
-76.17 66.27 2.42
-79.22 65.9 -2.48
-76.41 66.56 -6.33
-78.94 65.72 -10.89
-76.07 65.39 -17.9
-79.96 63.85 -20.36
-76.78 61.14 -29.96
-78.29 59.17 -33.55
-76.95 57.44 -37.07
-77.91 53.26 -43.02
-75.1 49.46 -48.3
-78.76 47.05 -50.01
-77.22 40.7 -56.28
-79.09 37.09 -58.81
-76.76 34.13 -61.59
-78.28 26.23 -65.09
-76.51 22.68 -67.08
-78.89 18.36 -68.12
-76.1 10.04 -70.67
-79.28 5.07 -70.33
-69.07 2.58 63.34
-72.65 5.79 62.96
-70.18 11.99 62.42
-72.91 15.85 61.45
-70.93 20.78 60.27
-73.22 29.12 56.7
-71.32 33.94 54.25
-74.58 37.53 51.67
-71.14 40.63 50
-72.91 44.03 46.81
-71.16 48.93 42.42
-73.25 52.92 37.19
-70.05 55.46 34.53
-73.21 57.79 29.69
-71.78 60.37 25.73
-72.97 63.73 16.82
-71.62 65.33 12.14
-74.16 65.96 7.27
-71.02 67.28 3.86
-74.35 66.94 -1.66
-71.92 67.3 -7.19
-74.19 66.52 -11.91
-71.46 66.28 -16.17
-72.6 65.01 -21.32
-73.14 62.97 -27.38
-72.64 60.25 -33.8
-70.62 58.02 -38.65
-74.71 55.65 -40.86
-70.24 49.46 -50.05
-73.67 45.68 -52.94
-72.46 42.54 -55.98
-73.07 38.01 -59.58
-71.58 32.47 -63.61
-74.54 28.98 -64.88
-72.74 20.13 -68.7
-74.88 14.59 -69.96
-71.6 7.9 -71.85
-74.28 3.53 -71.71
-64.58 2.68 63.65
-67.92 7.71 63.1
-65.44 13.23 62.52
-67.96 17.39 61.43
-66.96 23.58 59.62
-68.05 27.91 57.73
-67.45 32.22 55.78
-68.21 37.27 52.75
-66.16 41.42 50.06
-68.58 45.24 46.48
-66.71 49.61 42.6
-68.19 52.69 38.8
-65.69 56.38 34.72
-68.17 58.64 30.33
-67.38 62.18 23.56
-69.31 63.5 19.76
-67.64 65.25 14.69
-68.33 66.67 8.73
-66.72 67.81 2.67
-69.51 67.81 -1.79
-67.41 68.13 -6.94
-68.79 67.42 -12.18
-67.12 66.72 -17.94
-69.17 64.91 -23.59
-67.56 63.77 -28
-69.39 61.95 -31.77
-67.19 59.46 -37.26
-69 55.22 -43.25
-66.97 52.05 -47.94
-68.08 46.47 -53.93
-67.32 42.66 -57.38
-69.51 37.79 -60.6
-67.44 32.92 -64.28
-70.84 26.49 -66.77
-68.55 22.63 -68.81
-70.13 15.42 -70.78
-67.83 10.65 -72.14
-68.8 2.45 -72.69
-60.17 2.26 64.02
-63.57 8.16 63.36
-61.54 14.22 62.73
-63.71 19.57 61.18
-61.91 24.04 59.86
-63.31 28.69 57.97
-62.51 33.53 55.83
-63.63 37.24 53.43
-62.22 42.71 49.63
-64.45 46.42 46.14
-61.48 50.3 42.76
-63.28 53.2 39.04
-61.87 57.74 33.24
-65.04 60.2 28.28
-62.79 62.3 23.98
-64.38 64.54 18.49
-62.77 66.12 13.78
-64.51 67.13 8.77
-62.01 68.09 3.92
-64.49 68.47 -2.24
-62.28 68.87 -7.46
-64.21 68.09 -12.15
-62.76 67.6 -17.55
-64.69 66.02 -22.62
-63.12 64.43 -28.26
-64.15 62.12 -33.22
-62.71 59.6 -38.63
-64.93 56.37 -42.79
-63.09 52.38 -48.31
-64.12 48.26 -52.62
-62.56 43.87 -57.13
-64.93 39.07 -60.44
-63.36 34.55 -63.75
-65.92 28.25 -66.98
-63.8 22.19 -69.68
-65.78 16.96 -70.9
-63.53 10.29 -72.76
-65.06 4.29 -73.21
-55.9 3.58 64.31
-59.48 7.64 63.74
-57.36 11.5 63.38
-59.37 18.22 62
-57.9 23.74 60.36
-58.62 29.22 58.05
-58.05 33.74 55.96
-59.63 39.13 52.75
-57.31 42.79 49.99
-59.86 46.66 46.47
-57.17 50.68 42.72
-59.56 54.69 37.69
-57.51 58.07 33.19
-60.1 60.23 28.69
-57.86 62.54 24.42
-59.85 64.41 19.69
-58.12 66.21 14.56
-59.42 67.35 9.63
-58.27 68.53 3.83
-60.15 68.87 -1.91
-57.4 69.17 -7.27
-59.62 68.5 -12.78
-58.21 67.81 -18.53
-60.41 66.37 -23.28
-58.99 64.66 -28.91
-60.2 62.13 -34.38
-58.11 59.45 -39.66
-60.93 56.28 -43.9
-58.76 52.76 -48.44
-60.14 48.49 -53
-58.51 44 -57.23
-60.21 38.84 -61.22
-59.14 33.27 -65.24
-61.83 28.36 -67.46
-59.39 23.09 -70.02
-61.28 16.83 -71.67
-59.44 10.72 -73.38
-61.11 3.45 -74.02
-51.75 2.37 64.55
-53.91 8.08 64.04
-51.26 13.18 63.47
-54.86 20.2 61.74
-52.16 23.63 60.77
-54.82 27.84 58.99
-53.58 33.06 56.51
-55.56 37.65 53.87
-53.3 42.73 50.32
-55.31 47.05 46.57
-52.86 50.98 42.59
-55.69 54.37 38.68
-53.17 57.71 33.86
-55.3 60.8 28.68
-52.67 62.89 24.65
-55.3 64.74 19.93
-53.83 66.58 14.43
-54.87 67.84 8.72
-53.58 68.84 2.83
-55.73 69.24 -1.98
-53.26 69.5 -7.89
-55.43 68.83 -13.27
-54.06 67.97 -19.27
-56.09 66.39 -24.44
-54.58 64.59 -30.01
-55.83 62.52 -34.46
-54.12 59.83 -39.47
-56.27 56.16 -44.61
-54.31 52.65 -49.21
-55.97 49.02 -52.97
-54.49 44.19 -57.61
-56.44 38.97 -61.84
-54.9 34.16 -65.2
-57.12 28.67 -68
-55.31 22.34 -70.84
-56.9 16.38 -72.62
-55.34 9.18 -74.3
-57.29 3.26 -74.67
-47.66 2.33 64.73
-50.04 7.8 64.25
-47.25 13.93 63.6
-50.06 18.55 62.4
-48.21 24.05 60.63
-50.68 29.43 58.5
-49.2 34.16 56.14
-51.45 38.33 53.51
-49.06 42.27 50.78
-51.07 47.02 46.75
-49.12 51.37 42.47
-51.41 55.03 38.03
-48.15 57.75 34.17
-50.87 60.18 30.03
-48.83 63.12 24.51
-51.01 65.19 19.29
-49.12 66.76 14.28
-51.02 68.02 8.55
-49.08 69.2 3.12
-51.07 69.48 -2.09
-49.32 69.59 -8.01
-51.38 69 -14.19
-49.74 68.15 -19.79
-51.92 66.56 -24.95
-50.23 64.96 -30.06
-51.22 62.44 -35.34
-49.35 59.91 -40.04
-52.27 56.99 -44.17
-50.51 53.33 -48.87
-51.81 48.17 -54.24
-50.07 44.24 -58.38
-52.17 39.83 -61.77
-51.04 33.64 -66.1
-52.9 28.15 -68.83
-51.06 22.36 -71.33
-52.89 15.88 -73.26
-51.19 9.33 -74.73
-52.5 2.95 -75.05
-43.62 2.74 64.88
-46.26 8.07 64.36
-43.25 12.94 63.84
-45.98 19.38 62.32
-44.19 24.67 60.6
-46.54 29.18 58.66
-44.35 33.24 56.79
-46.67 37.7 54.04
-45.32 42.97 50.36
-47.29 47.02 46.83
-44.8 50.66 43.28
-46.96 54.52 38.75
-43.92 57.61 34.57
-46.61 60.69 29.28
-44.63 63.47 23.9
-46.48 65.37 18.98
-44.39 67.02 14
-46.73 68 9.3
-45.08 69.2 3.55
-46.94 69.81 -2.56
-45.27 69.77 -8.64
-47.47 69.23 -13.82
-45.56 68.49 -19.16
-47.5 66.98 -24.89
-45.74 65.51 -29.67
-47.25 63.1 -34.67
-45.38 60.16 -40.08
-47.92 56.72 -45.04
-45.63 53.37 -49.42
-48.3 50.04 -52.74
-45.75 42.58 -60.23
-48.59 38.45 -63.28
-46.53 33.53 -66.78
-48.52 28.39 -69.15
-46.89 22.56 -71.86
-48.85 16.33 -73.66
-47.16 9.95 -75.13
-47.88 3.18 -75.76
-39.54 2.93 64.91
-42.05 7.94 64.46
-39.12 13.2 63.91
-42.07 18.25 62.66
-40.44 23.14 61.24
-41.71 29.3 58.79
-40.22 34.49 56.3
-42.86 38.71 53.33
-41.29 43.56 49.96
-42.85 47.46 46.46
-39.9 51.29 42.74
-42.72 53.9 39.41
-40.19 58.16 33.87
-42.71 60.97 29.24
-40.4 63.31 24.67
