Gene name	Crypt_mean	V1_mean	V2_mean	V3_mean	V4_mean	V5_mean	V6_mean	Crypt_SEM	V1_SEM	V2_SEM	V3_SEM	V4_SEM	V5_SEM	V6_SEM	p-value	q-value
Mybl1	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Vcpip1	0.000024	0.000024	0.000030	0.000041	0.000033	0.000031	0.000026	0.000004	0.000003	0.000005	0.000010	0.000005	0.000006	0.000007	5.029793e-01	5.821367e-02
1700034P13Rik	0.000002	0.000002	0.000005	0.000000	0.000002	0.000000	0.000002	0.000001	0.000001	0.000002	0.000000	0.000001	0.000000	0.000002	7.504545e-02	1.283519e-02
Sgk3	0.000001	0.000004	0.000008	0.000002	0.000008	0.000004	0.000001	0.000001	0.000001	0.000003	0.000002	0.000003	0.000002	0.000001	2.501501e-01	3.437630e-02
Mcmdc2	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000001	7.579402e-01	7.653644e-02
Snhg6	0.000058	0.000024	0.000008	0.000007	0.000003	0.000004	0.000000	0.000005	0.000003	0.000003	0.000004	0.000002	0.000002	0.000000	3.452794e-14	2.506694e-14
Tcf24	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Ppp1r42	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm15818	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Cops5	0.000063	0.000048	0.000026	0.000023	0.000022	0.000018	0.000005	0.000005	0.000004	0.000005	0.000006	0.000004	0.000004	0.000003	4.796163e-13	3.285624e-13
Cspp1	0.000027	0.000015	0.000007	0.000022	0.000023	0.000010	0.000004	0.000003	0.000002	0.000002	0.000009	0.000004	0.000004	0.000003	1.454734e-02	3.172806e-03
Arfgef1	0.000093	0.000107	0.000137	0.000122	0.000136	0.000108	0.000066	0.000007	0.000007	0.000012	0.000018	0.000009	0.000012	0.000012	2.004151e-04	6.375222e-05
Cpa6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Prex2	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	NaN	NaN
A830018L16Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm17644	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm29663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Sulf1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Slco5a1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm29283	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Prdm14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Ncoa2	0.000021	0.000024	0.000025	0.000019	0.000027	0.000029	0.000032	0.000003	0.000003	0.000005	0.000006	0.000004	0.000006	0.000008	5.531734e-01	6.201181e-02
Gm29570	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Tram1	0.000127	0.000142	0.000137	0.000090	0.000077	0.000065	0.000085	0.000007	0.000009	0.000011	0.000013	0.000007	0.000008	0.000012	1.850551e-06	7.643025e-07
Lactb2	0.000011	0.000018	0.000014	0.000014	0.000009	0.000018	0.000028	0.000003	0.000003	0.000003	0.000005	0.000002	0.000004	0.000008	6.780821e-02	1.180964e-02
Xkr9	0.000004	0.000023	0.000027	0.000023	0.000025	0.000021	0.000054	0.000001	0.000003	0.000005	0.000007	0.000004	0.000005	0.000010	3.187888e-03	8.081049e-04
Eya1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm9947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Msc	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Trpa1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Kcnb2	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	3.431237e-01	4.401227e-02
Terf1	0.000021	0.000006	0.000004	0.000003	0.000002	0.000001	0.000001	0.000003	0.000002	0.000002	0.000002	0.000001	0.000001	0.000001	2.321988e-01	3.246015e-02
Sbspon	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
4930444P10Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Rpl7	0.002367	0.001475	0.000358	0.000243	0.000182	0.000128	0.000110	0.000051	0.000048	0.000021	0.000027	0.000013	0.000013	0.000014	1.102000e-16	9.315615e-17
Rdh10	0.000016	0.000017	0.000027	0.000022	0.000020	0.000005	0.000004	0.000002	0.000003	0.000005	0.000007	0.000004	0.000002	0.000003	5.520665e-04	1.622781e-04
Gm28095	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Stau2	0.000009	0.000007	0.000010	0.000006	0.000005	0.000008	0.000004	0.000002	0.000002	0.000004	0.000004	0.000002	0.000003	0.000003	7.439820e-01	7.572185e-02
Gm7568	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Ube2w	0.000019	0.000011	0.000011	0.000006	0.000005	0.000005	0.000000	0.000003	0.000002	0.000003	0.000003	0.000002	0.000002	0.000000	1.097204e-02	2.467482e-03
Tceb1	0.000109	0.000083	0.000068	0.000094	0.000054	0.000033	0.000022	0.000007	0.000005	0.000007	0.000015	0.000006	0.000006	0.000006	3.644640e-12	2.358139e-12
D030040B21Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Tmem70	0.000052	0.000040	0.000018	0.000017	0.000011	0.000006	0.000010	0.000005	0.000004	0.000003	0.000006	0.000003	0.000002	0.000006	1.238395e-09	6.786110e-10
Ly96	0.000016	0.000011	0.000012	0.000021	0.000014	0.000006	0.000006	0.000002	0.000002	0.000003	0.000006	0.000003	0.000002	0.000004	5.278650e-02	9.554804e-03
Gm28376	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Jph1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm28783	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gdap1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm28784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Pi15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm28154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm16070	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Crispld1	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm28153	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Crisp4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Defb18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Defb41	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm29006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm15825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Tfap2d	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Tfap2b	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm28340	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Pkhd1	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	3.123651e-02	6.189753e-03
4930486I03Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm28653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Il17a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Il17f	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Mcm3	0.000028	0.000001	0.000002	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	5.024785e-02	9.168440e-03
Gm28065	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
6720483E21Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Paqr8	0.000002	0.000000	0.000001	0.000000	0.000001	0.000000	0.000003	0.000001	0.000000	0.000001	0.000000	0.000001	0.000000	0.000002	1.668745e-01	2.497186e-02
Efhc1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Tram2	0.000002	0.000002	0.000001	0.000000	0.000003	0.000001	0.000003	0.000001	0.000001	0.000001	0.000000	0.000002	0.000001	0.000002	6.104710e-01	6.631845e-02
Gm28287	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Tmem14a	0.000008	0.000013	0.000007	0.000003	0.000004	0.000003	0.000000	0.000002	0.000002	0.000002	0.000002	0.000001	0.000002	0.000000	7.700507e-06	2.965883e-06
Gsta3	0.000001	0.000001	0.000001	0.000000	0.000001	0.000000	0.000000	0.000001	0.000001	0.000001	0.000000	0.000001	0.000000	0.000000	6.872054e-01	7.187915e-02
Gm28836	0.000000	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000000	0.000000	0.000000	0.000000	7.854214e-01	7.841828e-02
Khdc1a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Khdc1c	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Khdc1b	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Kcnq5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm26580	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Rims1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
4933415F23Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm27028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm29107	0.000001	0.000002	0.000001	0.000002	0.000000	0.000002	0.000000	0.000000	0.000001	0.000001	0.000002	0.000000	0.000002	0.000000	9.289051e-01	8.795965e-02
Ogfrl1	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm28822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
B3gat2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Smap1	0.000091	0.000105	0.000118	0.000111	0.000114	0.000115	0.000108	0.000007	0.000007	0.000011	0.000019	0.000009	0.000012	0.000013	9.407149e-01	8.886424e-02
Sdhaf4	0.000035	0.000038	0.000024	0.000022	0.000008	0.000005	0.000010	0.000004	0.000004	0.000004	0.000008	0.000002	0.000002	0.000005	3.184912e-08	1.553658e-08
Fam135a	0.000039	0.000034	0.000041	0.000015	0.000030	0.000022	0.000043	0.000005	0.000004	0.000005	0.000006	0.000004	0.000005	0.000010	1.439537e-02	3.144464e-03
Col9a1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Col19a1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Lmbrd1	0.000023	0.000042	0.000073	0.000074	0.000068	0.000077	0.000067	0.000003	0.000005	0.000008	0.000013	0.000006	0.000010	0.000011	8.009678e-02	1.356505e-02
Gm28237	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm29414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Adgrb3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
4931408C20Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm5524	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm597	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm9898	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Phf3	0.000041	0.000024	0.000017	0.000029	0.000011	0.000004	0.000006	0.000004	0.000003	0.000004	0.000010	0.000002	0.000002	0.000003	1.688111e-04	5.428875e-05
Ptp4a1	0.000135	0.000161	0.000175	0.000185	0.000244	0.000302	0.000515	0.000009	0.000008	0.000013	0.000017	0.000014	0.000022	0.000046	1.102000e-16	9.315615e-17
Gm29669	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm28644	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	NaN	NaN
4931428L18Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm29128	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Lgsn	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Pih1d3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Khdrbs2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm5415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm37724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	NaN	NaN
Gm37591	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Prim2	0.000009	0.000001	0.000002	0.000000	0.000001	0.000000	0.000001	0.000002	0.000000	0.000001	0.000000	0.000001	0.000000	0.000001	4.976103e-01	5.781486e-02
Rab23	0.000004	0.000003	0.000000	0.000000	0.000000	0.000001	0.000000	0.000001	0.000001	0.000000	0.000000	0.000000	0.000001	0.000000	6.441888e-05	2.200575e-05
Bag2	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Zfp451	0.000015	0.000008	0.000005	0.000009	0.000002	0.000001	0.000001	0.000003	0.000002	0.000002	0.000005	0.000001	0.000001	0.000001	6.957756e-02	1.206260e-02
Bend6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Dst	0.000010	0.000048	0.000052	0.000049	0.000034	0.000034	0.000044	0.000003	0.000005	0.000006	0.000010	0.000004	0.000007	0.000009	5.640033e-01	6.277005e-02
Gm37958	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Gm37233	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	NaN	NaN
Ccdc115	0.000030	0.000016	0.000002	0.000004	0.000001	0.000002	0.000001	0.000004	0.000002	0.000001	0.000003	0.000001	0.000002	0.000001	9.464940e-11	5.638391e-11
Gm28306	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Imp4	0.000047	0.000031	0.000017	0.000010	0.000009	0.000004	0.000006	0.000004	0.000003	0.000004	0.000006	0.000002	0.000002	0.000003	1.988503e-08	9.851782e-09
Ptpn18	0.000050	0.000047	0.000023	0.000027	0.000011	0.000010	0.000002	0.000004	0.000004	0.000004	0.000010	0.000003	0.000004	0.000002	6.661338e-16	5.414328e-16
4930568A12Rik	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Prss39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Cfc1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
Prss40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN
